City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Podor,MR,2020-03-18 10:48:28,16.65,-14.96,82.4,30,0,4.7
259,Grand-Santi,GF,2020-03-18 10:48:28,4.25,-54.38,79.43,73,77,4.5
260,Turt,RO,2020-03-18 10:48:28,47.98,23.22,59.0,45,32,3.36
261,Turayf,SA,2020-03-18 10:48:28,31.67,38.66,53.6,71,75,20.8
262,Monte Patria,CL,2020-03-18 10:48:28,-30.69,-70.95,63.95,44,0,0.22
263,Krasnoselkup,RU,2020-03-18 10:48:28,65.7,82.47,14.99,87,83,17.38
264,Sola,VU,2020-03-18 10:48:28,-13.88,167.55,83.57,74,80,8.41
265,Shiyan,CN,2020-03-18 10:48:28,32.65,110.78,66.29,20,88,5.99
266,Caravelas,BR,2020-03-18 10:48:28,-17.71,-39.25,80.87,75,23,4.21
267,Lebu,CL,2020-03-18 10:48:29,-37.62,-73.65,51.89,94,36,2.98
268,Norman Wells,CA,2020-03-18 10:48:29,65.28,-126.83,15.8,85,75,6.93
269,Eureka,US,2020-03-18 10:48:03,40.8,-124.16,44.6,87,90,11.41
270,Sorong,ID,2020-03-18 10:48:29,-0.88,131.25,76.73,86,96,1.52
271,Road Town,VG,2020-03-18 10:48:29,18.42,-64.62,75.99,83,1,8.05
272,Luderitz,NA,2020-03-18 10:48:29,-26.65,15.16,80.6,44,0,6.93
273,Labuhan,ID,2020-03-18 10:48:29,-6.88,112.21,78.17,86,100,5.14
274,Nanortalik,GL,2020-03-18 10:48:30,60.14,-45.24,25.25,94,100,10.78
275,Mokhsogollokh,RU,2020-03-18 10:48:30,61.47,128.92,-2.11,89,23,6.15
276,Tadine,NC,2020-03-18 10:48:30,-21.55,167.88,74.75,79,49,13.91
277,Kijang,KR,2020-03-18 10:47:49,35.24,129.21,55.49,73,0,14.38
278,Lagoa,PT,2020-03-18 10:48:30,39.05,-27.98,59.45,91,49,23.13
279,Fort-Shevchenko,KZ,2020-03-18 10:48:30,44.51,50.26,41.81,64,98,18.41
280,Rio Gallegos,AR,2020-03-18 10:48:31,-51.62,-69.22,55.4,43,40,11.41
281,Bambous Virieux,MU,2020-03-18 10:48:31,-20.34,57.76,86.0,62,75,17.22
282,Ritchie,ZA,2020-03-18 10:48:31,-29.04,24.6,77.0,61,1,10.29
283,Batagay-Alyta,RU,2020-03-18 10:48:31,67.8,130.41,-19.21,87,0,3.11
284,Carnarvon,AU,2020-03-18 10:48:31,-24.87,113.63,80.6,61,100,17.22
285,De-Kastri,RU,2020-03-18 10:48:31,51.47,140.78,26.15,89,100,1.83
286,Vila Velha,BR,2020-03-18 10:46:03,-20.33,-40.29,84.99,94,40,3.36
287,Lulea,SE,2020-03-18 10:48:31,65.58,22.15,41.0,52,25,13.87
288,Bathsheba,BB,2020-03-18 10:48:31,13.22,-59.52,77.0,73,40,12.75
289,Ostersund,SE,2020-03-18 10:46:35,63.18,14.64,41.0,55,83,5.82
290,West Wendover,US,2020-03-18 10:48:32,40.74,-114.07,42.8,48,90,8.05
291,Batticaloa,LK,2020-03-18 10:48:32,7.71,81.69,81.95,77,11,7.65
292,Vestmannaeyjar,IS,2020-03-18 10:48:32,63.44,-20.27,32.0,71,40,20.8
293,Asau,RO,2020-03-18 10:48:32,46.43,26.4,54.0,40,40,10.29
294,Miguel Calmon,BR,2020-03-18 10:48:32,-11.43,-40.59,80.87,63,69,2.64
295,Mackay,AU,2020-03-18 10:48:32,-21.15,149.2,77.0,73,40,19.46
296,Khatanga,RU,2020-03-18 10:48:32,71.97,102.5,-6.97,88,100,3.09
297,Mpika,ZM,2020-03-18 10:48:32,-11.83,31.45,71.15,81,100,6.08
298,Saint-Francois,FR,2020-03-18 10:48:33,46.42,3.91,63.0,62,1,1.12
299,Port Hardy,CA,2020-03-18 10:48:33,50.7,-127.42,28.4,100,20,5.82
300,Yerofey Pavlovich,RU,2020-03-18 10:48:33,53.97,121.97,20.03,86,79,4.72
